Query,Page,Clicks,Impressions,CTR,Position
la micro by flo,https://lamicrobyflo.fr/,24 541,34 260,"71,6%","1,0"
micro by flo,https://lamicrobyflo.fr/,10 028,14 598,"68,7%","1,0"
registre des sociétés européennes,https://lamicrobyflo.fr/registre-societes-europeennes-arnaque-ou-offre-commerciale/,9 559,23 466,"40,7%","1,3"
lamicrobyflo,https://lamicrobyflo.fr/,4 847,6 567,"73,8%","1,0"
registre des sociétés européennes,https://lamicrobyflo.fr/avis-de-paiement-du-registre-des-societes-europeennes-arnaque-ou-offre-commerciale/,4 793,14 361,"33,4%","2,1"
notification discretionnaire,https://lamicrobyflo.fr/avis-de-paiement-du-registre-des-societes-europeennes-arnaque-ou-offre-commerciale/,4 623,9 096,"50,8%","1,1"
notification discretionnaire,https://lamicrobyflo.fr/registre-societes-europeennes-arnaque-ou-offre-commerciale/,4 572,9 758,"46,9%","1,0"
microbyflo,https://lamicrobyflo.fr/,2 988,4 030,"74,1%","1,0"
taux cfe par commune 2024,https://lamicrobyflo.fr/taux-de-cfe-dans-les-principales-villes-de-france/,860,2 319,"37,1%","1,3"
registre des sociétés européenne,https://lamicrobyflo.fr/registre-societes-europeennes-arnaque-ou-offre-commerciale/,708,1 326,"53,4%","2,5"
journal des publications européennes obligatoire ou pas,https://lamicrobyflo.fr/avis-de-paiement-du-registre-des-societes-europeennes-arnaque-ou-offre-commerciale/,660,2 914,"22,6%","3,1"
ape affichage obligatoire,https://lamicrobyflo.fr/ape-affichage-obligatoire/,653,7 394,"8,8%","1,4"
registre des sociétés européennes avis de paiement,https://lamicrobyflo.fr/avis-de-paiement-du-registre-des-societes-europeennes-arnaque-ou-offre-commerciale/,621,1 777,"34,9%","1,1"
compte pro gratuit,https://lamicrobyflo.fr/comptes-bancaires-professionnels-gratuits/,619,14 500,"4,3%","5,7"
